"startup_id","industry","country","year_founded","years_since_founding","funding_rounds","total_funding_m","annual_revenue_m","team_size","valuation_m"
"ST0001","EdTech","USA",2004,20,6,1792.28,129.89,737,1279.41
"ST0002","E-Commerce","Germany",2015,9,4,135.01,27.88,503,341.51
"ST0003","HealthTech","Israel",2004,20,4,401.6,5.59,411,640.54
"ST0004","SaaS","Germany",2001,23,6,357.7,5.56,520,1352.67
"ST0005","CleanTech","India",2017,7,4,120.61,4.72,400,294.8
"ST0006","HealthTech","USA",2002,22,5,106.94,26.53,360,854.69
"ST0007","AI/ML","USA",2013,11,8,759.04,NA,401,3842.34
"ST0008","EdTech","Brazil",2014,10,3,22.74,5,359,77.47
"ST0009","AI/ML","USA",2007,17,8,619.79,12.69,442,972.15
"ST0010","E-Commerce","USA",2002,22,2,238.6,70.77,711,405.88
"ST0011","SaaS","USA",2015,9,7,408.45,25.94,388,1175.78
"ST0012","HealthTech","USA",2015,9,8,882.73,106.94,537,2145.35
"ST0013","FinTech","Singapore",2006,18,3,97.06,6.75,157,649.07
"ST0014","HealthTech","USA",2007,17,5,96.06,8.4,259,351.86
"ST0015","SaaS","USA",2005,19,4,225.02,112.31,629,1204.88
"ST0016","HealthTech","USA",2020,4,6,118.15,336.78,798,641.26
"ST0017","HealthTech","Brazil",2000,24,5,63.14,17.88,66,343.65
"ST0018","CleanTech","USA",2014,10,1,6,17.06,133,69.57
"ST0019","BioTech","USA",2007,17,2,25.4,30.53,547,368.53
"ST0020","SaaS","Germany",2019,5,5,437.09,37.31,644,1187.02
"ST0021","EdTech","Israel",2017,7,3,274.84,102.46,798,445.75
"ST0022","HealthTech","India",2013,11,5,38.44,NA,341,606.37
"ST0023","E-Commerce","USA",2009,15,5,305.35,13.87,767,410.47
"ST0024","AI/ML","India",2009,15,6,1742.89,109.67,696,5047.86
"ST0025","BioTech","India",2019,5,8,598.8,1300.13,798,1870.95
"ST0026","BioTech","USA",2005,19,4,157.17,116.59,550,944.46
"ST0027","E-Commerce","Canada",2021,3,5,75.5,35.96,473,366.13
"ST0028","E-Commerce","India",2007,17,2,58.28,22.11,46,261.92
"ST0029","FinTech","India",2002,22,2,132.65,79.74,497,398.44
"ST0030","E-Commerce","USA",2011,13,4,49.51,3.15,92,225.46
"ST0031","AI/ML","USA",2004,20,5,350.65,6.35,5,2489.55
"ST0032","SaaS","USA",2009,15,5,319.01,9.52,224,717.03
"ST0033","SaaS","Israel",2008,16,6,461.04,15.12,464,769.24
"ST0034","FinTech","India",2020,4,5,112.23,31.68,147,409.69
"ST0035","FinTech","USA",2010,14,6,191.82,42.75,444,647.51
"ST0036","CleanTech","India",2003,21,3,36.46,15.39,271,232.82
"ST0037","CleanTech","USA",2012,12,4,224.77,4.56,401,552.03
"ST0038","EdTech","USA",2013,11,3,73.33,25.66,338,91.88
"ST0039","AI/ML","Brazil",2019,5,2,12.5,61.35,NA,429.49
"ST0040","SaaS","India",2011,13,4,105.93,38.65,5,537.17
"ST0041","FinTech","Canada",2017,7,3,106.63,6.94,384,413.86
"ST0042","AI/ML","Israel",2001,23,4,88.67,10.03,232,979.82
"ST0043","HealthTech","USA",2017,7,3,143.73,36.47,536,594.33
"ST0044","BioTech","Canada",2007,17,2,19.45,NA,581,131.76
"ST0045","E-Commerce","Brazil",2005,19,2,77.01,10.16,221,180.09
"ST0046","FinTech","India",2010,14,5,370.4,51.89,384,1300.41
"ST0047","E-Commerce","USA",2008,16,3,69.14,11.5,766,191.84
"ST0048","HealthTech","Canada",2007,17,8,344.85,18.42,210,428.65
"ST0049","EdTech","Israel",2015,9,3,63.56,14.77,423,142.98
"ST0050","FinTech","USA",2020,4,2,378.46,112.02,497,878.06
"ST0051","BioTech","India",2011,13,6,261.04,14.1,396,897.74
"ST0052","HealthTech","USA",2002,22,3,114.69,47.48,146,443.77
"ST0053","SaaS","India",2001,23,7,609.02,22.97,353,1123.68
"ST0054","HealthTech","India",2009,15,5,406.77,66.8,404,1541.86
"ST0055","CleanTech","Singapore",2005,19,3,221.63,339.45,NA,616.02
"ST0056","EdTech","USA",2001,23,4,257.84,22.67,395,561.67
"ST0057","EdTech","Brazil",2017,7,6,343.13,199.43,798,852.81
