"startup_id","industry","country","year_founded","years_since_founding","funding_rounds","total_funding_m","annual_revenue_m","team_size","valuation_m","log_valuation_m","log_total_funding_m","log_annual_revenue_m"
"ST0001","EdTech","USA",2004,20,6,1792.28,129.89,737,1279.41,7.15493561812457,7.49180162426853,4.87435727580363
"ST0002","E-Commerce","Germany",2015,9,4,135.01,27.88,503,341.51,5.83630085435635,4.91272841244466,3.36314931402463
"ST0004","SaaS","Germany",2001,23,6,357.7,5.56,520,1352.67,7.21057470146283,5.88248638453824,1.880990602956
"ST0006","HealthTech","USA",2002,22,5,106.94,26.53,360,854.69,6.75190816101705,4.6815755171905,3.31527631915452
"ST0007","AI/ML","USA",2013,11,8,759.04,20.47,401,3842.34,8.25409705919887,6.63337106347433,3.06665661189069
"ST0008","EdTech","Brazil",2014,10,3,22.74,5,359,77.47,4.36271638613938,3.16716138918152,1.79175946922805
"ST0009","AI/ML","USA",2007,17,8,619.79,12.69,442,972.15,6.88053823268858,6.43099286049185,2.61666563930036
"ST0010","E-Commerce","USA",2002,22,2,238.6,70.77,711,405.88,6.00851830167381,5.47897086624129,4.27346656144198
"ST0011","SaaS","USA",2015,9,7,408.45,25.94,388,1175.78,7.07053717390147,6.0148147957162,3.29361217098222
"ST0012","HealthTech","USA",2015,9,8,882.73,106.94,537,2145.35,7.67152400402085,6.78415158612019,4.6815755171905
"ST0013","FinTech","Singapore",2006,18,3,97.06,6.75,157,649.07,6.47708004939897,4.58557953622309,2.04769284336526
"ST0014","HealthTech","USA",2007,17,5,96.06,8.4,259,351.86,5.86607137769992,4.57532934397707,2.24070968927596
"ST0015","SaaS","USA",2005,19,4,225.02,112.31,629,1204.88,7.09496486984887,5.420623490932,4.73012742539248
"ST0016","HealthTech","USA",2020,4,6,118.15,336.78,798,641.26,6.46499320612958,4.78038320354475,5.82239479598978
"ST0018","CleanTech","USA",2014,10,1,6,17.06,133,69.57,4.25660512501274,1.94591014905531,2.89369954798884
"ST0019","BioTech","USA",2007,17,2,25.4,30.53,547,368.53,5.91223192789084,3.27336401015227,3.45093947355697
"ST0021","EdTech","Israel",2017,7,3,274.84,102.46,798,445.75,6.10199915403954,5.61982098747533,4.63918506457537
"ST0022","HealthTech","India",2013,11,5,38.44,16.455,341,606.37,6.40913816054565,3.67478052973443,2.859626140557
"ST0024","AI/ML","India",2009,15,6,1742.89,109.67,696,5047.86,8.52691775421146,7.46387352908522,4.70655280027669
"ST0025","BioTech","India",2019,5,8,598.8,1300.13,798,1870.95,7.53473594727913,6.39659626631491,7.17098839665657
"ST0026","BioTech","USA",2005,19,4,157.17,116.59,550,944.46,6.85167158154522,5.0636704039754,4.76720399783532
"ST0027","E-Commerce","Canada",2021,3,5,75.5,35.96,473,366.13,5.9057160087655,4.33729074083249,3.60983624677348
"ST0028","E-Commerce","India",2007,17,2,58.28,22.11,46,261.92,5.57184980339538,4.08227198098783,3.14026542428629
"ST0029","FinTech","India",2002,22,2,132.65,79.74,497,398.44,5.99006356619235,4.89522444258493,4.39123411542479
"ST0030","E-Commerce","USA",2011,13,4,49.51,3.15,92,225.46,5.42256832888589,3.92217133647996,1.42310833424261
"ST0031","AI/ML","USA",2004,20,5,350.65,6.35,5,2489.55,7.82025884860171,5.86263636275403,1.99470031322475
"ST0032","SaaS","USA",2009,15,5,319.01,9.52,224,717.03,6.57651135090516,5.7683522453055,2.35327820730956
"ST0034","FinTech","India",2020,4,5,112.23,31.68,147,409.69,6.01783867199308,4.72942114832595,3.4867632699918
"ST0035","FinTech","USA",2010,14,6,191.82,42.75,444,647.51,6.47467742383807,5.26175711123623,3.77849161280362
"ST0036","CleanTech","India",2003,21,3,36.46,15.39,271,232.82,5.45455158857867,3.62327369701594,2.79667139275574
"ST0037","CleanTech","USA",2012,12,4,224.77,4.56,401,552.03,6.3154122495988,5.41951678194988,1.71559810826249
"ST0039","AI/ML","Brazil",2019,5,2,12.5,61.35,399.5,429.49,6.06492409479428,2.60268968544438,4.13276367212605
"ST0040","SaaS","India",2011,13,4,105.93,38.65,5,537.17,6.28817449537911,4.67217441476857,3.68009094808086
"ST0041","FinTech","Canada",2017,7,3,106.63,6.94,384,413.86,6.027941113918,4.67869941927621,2.07191327525904
"ST0042","AI/ML","Israel",2001,23,4,88.67,10.03,232,979.82,6.88838895649117,4.49613626496396,2.40061883326541
"ST0043","HealthTech","USA",2017,7,3,143.73,36.47,536,594.33,6.38911587364852,4.97486993764951,3.6235406128056
"ST0044","BioTech","Canada",2007,17,2,19.45,21.33,581,131.76,4.88854298685177,3.01798288248881,3.10593106585207
"ST0045","E-Commerce","Brazil",2005,19,2,77.01,10.16,221,180.09,5.19899414525325,4.35683702360022,2.41233595695316
"ST0046","FinTech","India",2010,14,5,370.4,51.89,384,1300.41,7.17120357106394,5.91727964891861,3.96821428507789
"ST0047","E-Commerce","USA",2008,16,3,69.14,11.5,766,191.84,5.26186082953742,4.25049324471203,2.52572864430826
"ST0048","HealthTech","Canada",2007,17,8,344.85,18.42,210,428.65,6.06297092375923,5.84600515504659,2.96630346286318
"ST0049","EdTech","Israel",2015,9,3,63.56,14.77,423,142.98,4.96967440104116,4.16759502396169,2.75810940097495
"ST0050","FinTech","USA",2020,4,2,378.46,112.02,497,878.06,6.77885315474128,5.93874918943599,4.7275647942017
"ST0051","BioTech","India",2011,13,6,261.04,14.1,396,897.74,6.80099378240868,5.56849716386368,2.71469474382088
"ST0052","HealthTech","USA",2002,22,3,114.69,47.48,146,443.77,6.09755729461862,4.7509142000408,3.88115134176106
"ST0053","SaaS","India",2001,23,7,609.02,22.97,353,1123.68,7.02525382973208,6.41349174351512,3.17680304844629
"ST0056","EdTech","USA",2001,23,4,257.84,22.67,395,561.67,6.33269331064086,5.55621011018907,3.16420842352589
"ST0057","EdTech","Brazil",2017,7,6,343.13,199.43,798,852.81,6.74970868660008,5.84101949296129,5.3004650586055
"ST0060","FinTech","USA",2003,21,6,547.89,12.88,293,1396.05,7.24211814959715,6.3078980571352,2.63044895507866
"ST0061","EdTech","USA",2012,12,5,89.53,13.32,564,195.03,5.27826770874233,4.50568128748735,2.6616571615325
"ST0063","BioTech","USA",2020,4,5,294.63,178.7,626,920.8,6.82632828028641,5.68910867242241,5.19128879378951
"ST0066","SaaS","India",2011,13,8,404.16,26.045,244,1923.58,7.56246304109859,6.0042820508186,3.29750214532339
"ST0069","SaaS","UK",2000,24,6,499.97,13.33,313,1178.01,7.07243038226561,6.21654621905245,2.66235524184008
"ST0071","AI/ML","UK",2000,24,3,211.54,0.12,244,561.19,6.33183987104992,5.35913020594455,0.113328685307003
"ST0074","BioTech","USA",2006,18,6,90.18,6.1,190,288.32,5.66753334198108,4.5128355747853,1.96009478404727
"ST0077","FinTech","USA",2021,3,5,296.5,59.24,774,1240.22,7.12385004588301,5.69541422498568,4.09833658349164
"ST0078","FinTech","India",2010,14,6,74.64,33.505,436,640.26,6.4634349909053,4.32598524379026,3.54110424107256
"ST0079","SaaS","UK",2016,8,2,37.92,40.58,214,285.1,5.65634140005607,3.6615082573178,3.72761928242987
"ST0080","EdTech","Brazil",2009,15,3,35.81,48.74,793,115.27,4.75591507268052,3.60576954739093,3.90680943837526
"ST0081","CleanTech","Germany",2015,9,6,691.93,45.84,399.5,1737.57,7.46081821523324,6.54092898398703,3.84673753872952
"ST0082","E-Commerce","India",2003,21,3,160.65,41.48,592,394.71,5.98068161974251,5.08543350417144,3.74903337693368
"ST0083","AI/ML","India",2021,3,5,151.49,3.07,272,1027.66,6.9360122633526,5.02709902012692,1.4036429994545
"ST0084","BioTech","Singapore",2009,15,6,95.67,3.18,488,661.14,6.49547701394073,4.57130311647651,1.43031124653666
"ST0085","AI/ML","Israel",2013,11,2,85.64,1.66,488,579.24,6.36344181105516,4.46176160269273,0.978326122793608
"ST0086","EdTech","USA",2012,12,4,144.29,12.18,156,302.99,5.71699480612834,4.97873174508325,2.57870052907436
"ST0087","BioTech","USA",2012,12,3,116.04,5.52,503,489.17,6.19475226971084,4.76251575671187,1.87487437593856
"ST0088","HealthTech","USA",2007,17,4,81.67,6.99,5,300.95,5.71026144075391,4.41485677926458,2.07819075977818
"ST0089","EdTech","USA",2014,10,7,135.15,48.59,580,696.45,6.54743082653824,4.91375721911977,3.90378920050104
"ST0090","EdTech","USA",2011,13,7,507.02,72.18,460,460.85,6.13524016303862,6.23052081688224,4.29292215959106
"ST0091","AI/ML","India",2009,15,7,282.78,117.08,482,2596.59,7.8623393710738,5.64819929007917,4.77136236085216
"ST0092","HealthTech","Canada",2012,12,5,119.05,35.92,403,375.57,5.93110395293318,4.78790832266726,3.60875340963465
"ST0093","E-Commerce","Germany",2010,14,5,185.67,24.27,445,368.41,5.91190713832455,5.22934235204451,3.2296179214001
"ST0095","SaaS","India",2008,16,4,81.84,11.34,399,585.41,6.37401920363304,4.41691103652738,2.51284601847724
"ST0096","E-Commerce","Brazil",2001,23,3,97.03,2.58,555,344.19,5.84409499007588,4.58527355427363,1.27536280041261
"ST0097","EdTech","India",2012,12,2,127.18,8.12,267,245.47,5.50724028222227,4.85343552607608,2.21046980408624
