"Term","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",3.84541221281133,0.107370159823262,35.8145337507284,6.41538031695681e-125
"log_total_funding_m",0.507847658264926,0.0196612345707046,25.8298967157242,3.12085353759008e-86
"log_annual_revenue_m",0.0675418110875729,0.016139072632904,4.18498711938815,3.53255731913748e-05
"funding_rounds",0.0343344771573642,0.0110604905649674,3.10424541802096,0.00204794713103171
"team_size",0.000375950476281598,9.19100482106445e-05,4.09041757240704,5.24107067089767e-05
"years_since_founding",-0.000545306053021064,0.00251600898533401,-0.216734541172027,0.828529433343125
"industryBioTech",-0.444295497296851,0.0627974099522939,-7.07506086054146,7.0494131285751e-12
"industryCleanTech",-0.776993010391414,0.0660394861149706,-11.7655823220477,1.57397220418418e-27
"industryE-Commerce",-0.973334932204424,0.0638521899278621,-15.2435638198794,1.9910232165819e-41
"industryEdTech",-1.11272592342059,0.0644074996372949,-17.2763409492187,5.55875650112731e-50
"industryFinTech",-0.286023268993009,0.0641812089839512,-4.4564954995555,1.09239700639691e-05
"industryHealthTech",-0.647033758424063,0.0640619318042735,-10.1001287379364,1.91708737251701e-21
"industrySaaS",-0.530415686710282,0.0663878216365599,-7.98965342791398,1.56856803040337e-14
