"predictor","beta","direction"
"EdTech",-1.37752159648528,"Negative effect on valuation"
"E-Commerce",-1.20495969537894,"Negative effect on valuation"
"CleanTech",-0.961894236131423,"Negative effect on valuation"
"HealthTech",-0.801008547679253,"Negative effect on valuation"
"SaaS",-0.656638843563462,"Negative effect on valuation"
"BioTech",-0.55002461061226,"Negative effect on valuation"
"FinTech",-0.354088299591329,"Negative effect on valuation"
"Years Since Founding",-0.00426102403979702,"Negative effect on valuation"
"Funding Rounds",0.0760704183609143,"Positive effect on valuation"
"Team Size",0.098388372123587,"Positive effect on valuation"
"log(Revenue)",0.100421510961971,"Positive effect on valuation"
"log(Total Funding)",0.640436486548187,"Positive effect on valuation"
